service_id,date,exception_type
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240607,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240617,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240618,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240620,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240621,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240610,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240611,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240613,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240614,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240605,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240619,1
12345-MSHLVH17_ST8_17_HI2324-MSHLVH18_ST8_18_HI2324-MSHLVH19_ST8_19_HI2324-MSHLW17_ST11_17_HI2324-MSHLW18_ST11_18_HI2324-MSHLW19_ST11_19_HI2324,20240612,1
12345-MFHLV29_ST0_29_HI2324-MFHLV30_ST0_30_HI2324-MFHLV31_ST0_31_HI2324,20240604,1
12345-MFHLV29_ST0_29_HI2324-MFHLV30_ST0_30_HI2324-MFHLV31_ST0_31_HI2324,20240605,1
